,Date,Open,High,Low,Close,Volume
,"Oct 8, 2019",143.27,143.27,141.20,142.25,"161,797"
,"Oct 9, 2019",142.27,143.95,142.27,143.71,"395,821"
,"Oct 10, 2019",143.65,144.13,143.45,144.00,"256,437"
,"Oct 11, 2019",144.65,146.42,144.23,144.36,"330,378"
,"Oct 15, 2019",144.03,145.03,144.03,144.28,"280,377"
,"Oct 16, 2019",144.40,144.56,143.83,144.46,"220,180"
,"Oct 17, 2019",144.46,144.46,142.62,144.01,"236,265"
,"Oct 18, 2019",144.89,144.89,143.75,144.29,"140,458"
,"Oct 21, 2019",144.01,144.25,143.49,144.04,"196,500"
,"Oct 22, 2019",143.84,144.57,143.66,143.66,"146,772"
,"Oct 23, 2019",143.55,143.69,142.44,143.59,"187,767"
,"Oct 24, 2019",143.33,143.75,141.85,142.67,"102,842"
,"Oct 25, 2019",142.89,143.92,142.37,143.30,"124,195"
,"Oct 28, 2019",143.50,144.39,143.50,144.00,"236,436"
,"Oct 29, 2019",143.82,144.20,142.30,142.81,"167,958"
,"Oct 30, 2019",142.15,143.24,141.74,143.13,"138,128"
,"Oct 31, 2019",142.76,143.16,141.52,141.99,"193,318"
,"Nov 1, 2019",142.39,142.53,141.38,141.78,"199,822"
,"Nov 4, 2019",142.23,144.02,142.00,144.01,"583,712"
,"Nov 5, 2019",144.52,144.52,143.59,143.97,"253,017"
,"Nov 6, 2019",143.97,144.74,143.59,144.16,"340,656"
,"Nov 7, 2019",144.14,150.90,144.14,150.71,"811,369"
,"Nov 8, 2019",150.49,154.06,149.36,153.61,"336,463"
,"Nov 11, 2019",153.43,154.24,152.40,154.02,"212,252"
,"Nov 12, 2019",154.00,155.02,153.08,154.95,"345,756"
,"Nov 13, 2019",154.95,155.89,153.81,155.01,"296,398"
,"Nov 14, 2019",155.28,156.20,154.40,155.07,"150,154"
,"Nov 15, 2019",155.14,157.36,154.84,156.50,"159,802"
,"Nov 18, 2019",156.32,156.89,155.20,156.62,"294,486"
,"Nov 19, 2019",156.74,156.74,155.53,156.43,"442,694"
,"Nov 20, 2019",155.90,156.39,155.15,155.44,"268,166"
,"Nov 21, 2019",155.06,155.77,154.65,154.85,"217,462"
,"Nov 22, 2019",155.05,155.38,154.52,154.88,"160,692"
,"Nov 25, 2019",155.11,155.96,154.47,154.55,"215,045"
,"Nov 26, 2019",154.55,154.99,153.57,154.69,"195,672"
,"Nov 27, 2019",154.82,155.71,154.60,154.70,"154,413"
,"Nov 28, 2019",154.91,156.25,154.70,155.99,"74,182"
,"Nov 29, 2019",155.97,156.56,154.18,154.76,"114,754"
,"Dec 2, 2019",154.40,155.03,153.27,154.00,"152,282"
,"Dec 3, 2019",152.21,153.28,151.78,152.50,"338,228"
,"Dec 4, 2019",152.55,152.87,150.73,151.11,"377,595"
,"Dec 5, 2019",150.81,150.81,144.80,146.93,"743,309"
,"Dec 6, 2019",144.81,148.70,144.81,147.72,"334,707"
,"Dec 9, 2019",147.93,148.78,144.42,144.50,"348,441"
,"Dec 10, 2019",144.73,145.22,143.03,144.78,"207,861"
,"Dec 11, 2019",144.78,145.64,141.57,142.67,"238,851"
,"Dec 12, 2019",142.31,144.96,142.29,144.37,"262,855"
,"Dec 13, 2019",144.36,144.36,142.55,142.96,"164,473"
,"Dec 16, 2019",143.41,144.00,142.41,143.40,"188,880"
,"Dec 17, 2019",143.70,144.09,142.92,143.56,"229,155"
,"Dec 18, 2019",143.33,143.75,142.51,142.97,"565,223"
,"Dec 19, 2019",142.96,143.17,142.03,142.26,"310,072"
,"Dec 20, 2019",142.00,142.81,140.87,142.00,"473,248"
,"Dec 23, 2019",142.42,142.69,141.04,141.18,"178,360"
,"Dec 24, 2019",141.65,141.72,140.47,141.07,"58,379"
,"Dec 27, 2019",141.32,141.76,139.73,140.63,"165,751"
,"Dec 30, 2019",140.37,140.92,139.77,139.95,"227,139"
,"Dec 31, 2019",139.70,140.66,139.48,139.75,"146,426"
,"Jan 2, 2020",139.82,140.06,138.93,139.74,"168,947"
,"Jan 3, 2020",138.67,140.39,138.67,139.64,"217,997"
,"Jan 6, 2020",139.40,140.42,139.40,139.84,"181,029"
,"Jan 7, 2020",140.00,142.39,139.68,142.16,"314,411"
,"Jan 8, 2020",142.16,143.80,141.38,142.06,"356,378"
